Field,Type,Null,Key,Default,Extra
MID,int(11),NO,PRI,NULL,
Title,varchar(255),YES,,NULL,
Descr,text,YES,,NULL,
Dir,varchar(255),YES,,NULL,
Dist,varchar(255),YES,,NULL,
Budget,int(11),YES,,NULL,
BoxOffice,int(11),YES,,NULL,
RD_Month,int(11),YES,,NULL,
RD_Day,int(11),YES,,NULL,
RD_Year,int(11),YES,,NULL,
Rating,varchar(5),YES,,NULL,
LengthHr,int(11),YES,,NULL,
LengthMin,int(11),YES,,NULL,
IMDB,double,YES,,NULL,
Metascore,int(11),YES,,NULL,
Tomato,int(11),YES,,NULL,
AudScore,int(11),YES,,NULL,
